entity_id,decision_count,unique_current_price_count,unique_applied_price_count,min_applied_price,max_applied_price,mean_applied_price,std_applied_price,applied_price_range,applied_price_cv,pct_changed
All,15708,5352,10918,4.16,729.26,158.79846829641028,131.54722724208784,725.10,0.828391033322464,0.855042016806722689075
Fall,3814,1503,3134,10.65,438.31,132.23454378605155,65.51090188322648,427.66,0.49541443565018556,0.863135815416885159937
Spring,6187,2202,4690,10.74,440.33,159.1185518021658,74.99979115222932,429.59,0.4713453604421787,0.854533699692904477129
Summer,4845,1775,3808,10.61,448.23,137.61861093911176,76.91792017685938,437.62,0.558920916669411,0.857997936016511867905
Winter,4446,1536,3498,14.18,398.11,144.76560053981132,80.27587520662948,383.93,0.5545231388347205,0.852451641925326135852
