fold,model_name,population,feature_set,training_seconds,prediction_seconds,row_count,purchase_count,non_purchase_count,purchase_rate,roc_auc,average_precision,log_loss,brier_score,precision_at_0_5,recall_at_0_5,f1_at_0_5,ece,top_decile_purchase_rate,top_decile_lift,top_decile_tie_policy
1,purchase_dummy_prior,purchase,CORE,0.19156770000699908,0.07415359999868087,4898,833,4065,0.17006941608819925,0.5,0.17006941608819925,0.45894427295159346,0.14205267716853986,0.0,0.0,0.0,0.03011423864090995,0.17006941608819925,1.0,fractional inclusion at score cutoff
1,purchase_logistic_core,purchase,CORE,0.565911400000914,0.07001950000994839,4898,833,4065,0.17006941608819925,0.526861962497176,0.18158799398583117,0.46419786038354166,0.14378653228967267,0.0,0.0,0.0,0.03368300683916046,0.17551020408163265,1.0319915721390598,fractional inclusion at score cutoff
2,purchase_dummy_prior,purchase,CORE,0.3079854000097839,0.07550989999435842,4899,889,4010,0.18146560522555624,0.5,0.18146560522555624,0.4738563371078746,0.14861124051208205,0.0,0.0,0.0,0.00868338450163611,0.18146560522555624,1.0,fractional inclusion at score cutoff
2,purchase_logistic_core,purchase,CORE,0.8430629000067711,0.08510250000108499,4899,889,4010,0.18146560522555624,0.4996555293431214,0.18029647262371828,0.4886979125985406,0.1519145842757328,0.0,0.0,0.0,0.04585257812651553,0.17551020408163265,0.9671816533137438,fractional inclusion at score cutoff
3,purchase_dummy_prior,purchase,CORE,0.32444939999550115,0.07126080000307411,4902,897,4005,0.18298653610771115,0.5,0.18298653610771115,0.47597421439054943,0.1495273820680931,0.0,0.0,0.0,0.004991829031588763,0.18298653610771112,1.0,fractional inclusion at score cutoff
3,purchase_logistic_core,purchase,CORE,1.1338509000052,0.068709500003024,4902,897,4005,0.18298653610771115,0.5089861196358509,0.18765839429795975,0.48209604442195664,0.15111371400642437,0.0,0.0,0.0,0.0352962881837459,0.18533604887983707,1.0128398122730895,fractional inclusion at score cutoff
