split,segment_dimension,segment_value,support,purchase_rate,roc_auc,average_precision,brier_score,mean_predicted_probability,minimum_support
validation,Channel,Email,1127,0.1730257320319432,0.5020688896225377,0.1732582662342361,0.1454918453420203,0.1938445938924272,100
validation,Channel,Kiosk,702,0.16096866096866097,0.5098487011133315,0.1775297184587739,0.1369812498647808,0.18901163165524557,100
validation,Channel,Mobile,1978,0.19059656218402427,0.4979331551732422,0.189357524114125,0.15625610401152112,0.19123159225388708,100
validation,Channel,Online,162,0.16666666666666666,0.4716049382716049,0.15680109437904588,0.14372597311346827,0.2002719083310187,100
validation,Channel,Store,453,0.17439293598233996,0.5322209436133487,0.18297239564358475,0.14486891787962602,0.16876240609692902,100
validation,Channel,Web,828,0.178743961352657,0.48833465818759936,0.19131100318860156,0.14906090976238265,0.20161157646373032,100
validation,Season,All,2430,0.18765432098765433,0.4819584422048028,0.17662396143364273,0.15536142828404026,0.18943343145776181,100
validation,Season,Fall,576,0.203125,0.5042735042735043,0.2007509855567946,0.16392086112251883,0.1818573200146893,100
validation,Season,Spring,901,0.16204217536071033,0.5340742084731924,0.1908770216550522,0.13723622461940108,0.19423236483349046,100
validation,Season,Summer,673,0.1723625557206538,0.5255834829443448,0.17858001509432667,0.1437765347080606,0.19331758291514906,100
validation,Season,Winter,670,0.15522388059701492,0.5420120956781733,0.1902093161836826,0.13310186356721382,0.2015727878399203,100
validation,RegionID,REG000001,308,0.17207792207792208,0.4758416574176841,0.17187428664101903,0.14638174469441198,0.196498715478649,100
validation,RegionID,REG000002,498,0.16666666666666666,0.49734359123239946,0.1671719729221574,0.14154619283110018,0.18665362762687795,100
validation,RegionID,REG000003,508,0.20078740157480315,0.5090311986863711,0.2224845246118468,0.16178622079233707,0.19496371001689336,100
validation,RegionID,REG000004,676,0.15384615384615385,0.4816265465303926,0.14979526953764813,0.13439469374377516,0.19374906809562192,100
validation,RegionID,REG000005,662,0.18580060422960726,0.5182436611008039,0.1994106438715972,0.15205255672402926,0.19037377126535834,100
validation,RegionID,REG000006,610,0.16557377049180327,0.5622167324787488,0.20368601934350083,0.13774385163616754,0.1910371090807986,100
