fold,model_name,population,feature_set,training_seconds,prediction_seconds,row_count,mae,rmse,r2,negative_prediction_count,mean_poisson_deviance
1,quantity_dummy_mean,quantity_purchased_only,CORE,0.07167660001141485,0.054340799993951805,833,0.4622013943191956,0.62109780043389,-0.00020304717632813052,0,0.23721198122531303
1,quantity_poisson_core,quantity_purchased_only,CORE,0.1119611000031,0.05691159999696538,833,0.45390666868163954,0.6243024830013293,-0.010551184158725802,0,0.24023544504113195
2,quantity_dummy_mean,quantity_purchased_only,CORE,0.08265700000629295,0.04910830000881106,889,0.48738245823028836,0.6609173452272528,-0.004041185733781427,0,0.26447532859420286
2,quantity_poisson_core,quantity_purchased_only,CORE,0.10514670000702608,0.10814350000873674,889,0.48264781416740377,0.6633170728297247,-0.011345577307798393,0,0.2670901076441575
3,quantity_dummy_mean,quantity_purchased_only,CORE,0.11990439999499358,0.04440069998963736,897,0.48001178981210124,0.6396136639461201,-0.0004257337504374181,0,0.24958512477981806
3,quantity_poisson_core,quantity_purchased_only,CORE,0.26769740000599995,0.08052800000587013,897,0.4923892419751862,0.6417271311057298,-0.007048044344943216,0,0.25161780826075586
