model_name,population,feature_set,training_start,training_end,evaluation_split,training_seconds,prediction_seconds,roc_auc,average_precision,log_loss,brier_score,ece,mae,rmse,r2,mean_poisson_deviance
purchase_dummy_prior,purchase,CORE,2025-01-01T08:12:26,2025-09-23T14:26:24,validation,0.7392699000047287,0.11511420000169892,0.5,0.17885714285714285,0.4698755578084077,0.14693323948354853,0.008122448979591856,,,,
purchase_dummy_prior,purchase,CORE,2025-01-01T08:12:26,2025-11-15T23:42:22,test,0.7464159999944968,0.09011090001149569,0.5,0.18514285714285714,0.479103443192219,0.150865142292211,0.00040336134453788913,,,,
purchase_logistic_core,purchase,CORE,2025-01-01T08:12:26,2025-09-23T14:26:24,validation,1.8960525000002235,0.11837490000471007,0.5004593593573564,0.17790142106169896,0.4755424448028758,0.1488640726795099,0.03212218962041481,,,,
purchase_logistic_core,purchase,CORE,2025-01-01T08:12:26,2025-11-15T23:42:22,test,2.1907625000021653,0.10297690000152215,0.526029431852506,0.198224848939275,0.4825975666616103,0.15195172395850157,0.02611584388587464,,,,
purchase_logistic_core_no_price,purchase,CORE_NO_PRICE,2025-01-01T08:12:26,2025-09-23T14:26:24,validation,1.661554399994202,0.09921879999455996,0.5010495231135943,0.17858196513663682,0.4751657777166833,0.14873582128180227,0.029789919373468764,,,,
quantity_dummy_mean,quantity_purchased_only,CORE,2025-01-01T08:12:26,2025-09-23T12:30:18,validation,0.17886230000294745,0.06560560000070836,,,,,,0.4695451114351798,0.6336897828022066,-0.0005094900773796596,0.24302858245317835
quantity_dummy_mean,quantity_purchased_only,CORE,2025-01-01T08:12:26,2025-11-15T23:26:14,test,0.17443250000360422,0.06670090000261553,,,,,,0.471217272022425,0.6388924352050224,-0.00022118790805558675,0.24678758383121435
quantity_poisson_core,quantity_purchased_only,CORE,2025-01-01T08:12:26,2025-09-23T12:30:18,validation,0.22204720000445377,0.07771280000451952,,,,,,0.4802318364680323,0.6350632342864145,-0.004851174102414868,0.24435339579640508
quantity_poisson_core,quantity_purchased_only,CORE,2025-01-01T08:12:26,2025-11-15T23:26:14,test,0.2309564000024693,0.08285239999531768,,,,,,0.4670921468977555,0.6400303058664499,-0.00378715858705414,0.24795237058616384
