fold,population,rows,date_min,date_max,quantity_mean,quantity_median,quantity_std,quantity_min,quantity_max,quantity_1_pct,quantity_gt_1_pct,distinct_ProductID,distinct_StoreID,distinct_CategoryID
1,train,1962,2025-01-01T08:12:26,2025-04-19T18:08:49,1.298165137614679,1.0,0.6284814893094275,1.0,4.0,78.38939857288482,21.61060142711519,932,49,70
1,validation,833,2025-04-19T18:55:16,2025-06-12T10:50:49,1.2893157262905162,1.0,0.6214078598811718,1.0,4.0,78.99159663865547,21.008403361344538,521,49,70
2,train,2795,2025-01-01T08:12:26,2025-06-12T10:50:49,1.2955277280858677,1.0,0.6262836771860003,1.0,4.0,78.56887298747763,21.43112701252236,1183,49,70
2,validation,889,2025-06-12T11:33:06,2025-08-01T23:50:08,1.3374578177727785,1.0,0.6599572183344304,1.0,4.0,75.36557930258716,24.634420697412825,540,49,70
3,train,3684,2025-01-01T08:12:26,2025-08-01T23:50:08,1.3056460369163951,1.0,0.6347358859967439,1.0,4.0,77.79587404994571,22.204125950054287,1380,49,70
3,validation,897,2025-08-02T10:40:52,2025-09-23T12:30:18,1.318840579710145,1.0,0.6398343066439873,1.0,4.0,76.36566332218506,23.634336677814936,534,49,70
